Team,Contitent,Span,Started,Format,Mat,Won,Lost,Tied,Tie+W,Tie+L,NR,%
Afghanistan,Asia,2010-2023,2010,T20I,113,72,40,0,0,1,0,64.15
Argentina,South America,2019-2023,2019,T20I,17,8,9,0,0,0,0,47.05
Australia,Oceania,2005-2022,2005,T20I,174,91,76,0,1,2,4,54.41
Austria,Europe,2019-2022,2019,T20I,29,20,8,0,0,0,1,71.42
Bahamas,Asia,2021-2023,2021,T20I,15,3,12,0,0,0,0,20
Bahrain,Asia,2019-2023,2019,T20I,40,17,20,0,2,0,1,46.15
Bangladesh,Asia,2006-2023,2006,T20I,150,54,93,0,0,0,3,36.73
Belgium,Europe,2019-2022,2019,T20I,23,16,7,0,0,0,0,69.56
Belize,North America,2019-2021,2019,T20I,9,4,5,0,0,0,0,44.44
Bermuda,North America,2008-2023,2008,T20I,27,14,12,0,0,0,1,53.84
Bhutan,Asia,2019-2022,2019,T20I,9,4,5,0,0,0,0,44.44
Botswana,Africa,2019-2022,2019,T20I,22,8,13,0,0,0,1,38.09
Brazil,South America,2019-2019,2019,T20I,4,1,3,0,0,0,0,25
Bulgaria,Europe,2019-2022,2019,T20I,40,13,25,0,0,0,2,34.21
Cameroon,Africa,2021-2022,2021,T20I,14,0,13,0,0,0,1,0
Canada,North America,2008-2022,2008,T20I,49,26,20,0,0,2,1,56.25
Cayman Islands,British Overseas,2019-2023,2019,T20I,15,8,7,0,0,0,0,53.33
Chile,South America,2019-2019,2019,T20I,4,1,3,0,0,0,0,25
Cook Islands,Oceania,2022-2022,2022,T20I,6,3,3,0,0,0,0,50
Costa Rica,North America,2019-2019,2019,T20I,3,0,3,0,0,0,0,0
Croatia,Europe,2022-2022,2022,T20I,5,2,3,0,0,0,0,40
Cyprus,Europe,2021-2022,2021,T20I,11,6,5,0,0,0,0,54.54
Czech Republic,Europe,2019-2022,2019,T20I,33,18,15,0,0,0,0,54.54
Denmark,Europe,2019-2022,2019,T20I,26,12,12,0,0,0,2,50
England,Europe,2005-2023,2005,T20I,173,90,75,0,2,0,6,54.49
Estonia,Europe,2021-2022,2021,T20I,12,0,12,0,0,0,0,0
Eswatini,Africa,2021-2022,2021,T20I,19,2,16,0,0,0,1,11.11
Fiji,Oceania,2022-2023,2022,T20I,10,5,5,0,0,0,0,50
Finland,Europe,2019-2022,2019,T20I,19,10,9,0,0,0,0,52.63
France,Europe,2021-2022,2021,T20I,9,4,5,0,0,0,0,44.44
Gambia,Africa,2022-2022,2022,T20I,7,1,6,0,0,0,0,14.28
Germany,Europe,2019-2022,2019,T20I,40,24,16,0,0,0,0,60
Ghana,Africa,2019-2022,2019,T20I,25,12,13,0,0,0,0,48
Gibraltar,Europe,2019-2022,2019,T20I,23,3,19,1,0,0,0,15.21
Greece,Europe,2019-2022,2019,T20I,11,3,7,0,0,0,1,30
Guernsey,British Overseas,2019-2022,2019,T20I,22,9,11,0,0,1,1,45.23
Hong Kong,Asia,2014-2023,2014,T20I,58,25,33,0,0,0,0,43.1
Hungary,Europe,2021-2022,2021,T20I,17,6,10,0,0,0,1,37.5
India,Asia,2006-2023,2006,T20I,199,127,63,1,3,0,5,66.49
Indonesia,Asia,2022-2022,2022,T20I,7,4,3,0,0,0,0,57.14
Iran,Asia,2020-2020,2020,T20I,3,0,3,0,0,0,0,0
Ireland,Europe,2008-2023,2008,T20I,147,60,78,1,1,0,7,43.57
Isle of Man,British Overseas,2020-2023,2020,T20I,16,8,7,0,0,0,1,53.33
Israel,Asia,2022-2022,2022,T20I,4,1,3,0,0,0,0,25
Italy,Europe,2019-2022,2019,T20I,23,14,8,0,0,0,1,63.63
Japan,Asia,2022-2022,2022,T20I,7,5,2,0,0,0,0,71.42
Jersey,British Overseas,2019-2022,2019,T20I,31,20,10,0,1,0,0,66.12
Kenya,Africa,2007-2022,2007,T20I,67,31,33,0,0,0,3,48.43
Kuwait,Asia,2019-2023,2019,T20I,31,16,12,0,0,3,0,56.45
Lesotho,Africa,2021-2022,2021,T20I,13,2,10,0,0,0,1,16.66
Luxembourg,Europe,2019-2022,2019,T20I,27,11,16,0,0,0,0,40.74
Malawi,Africa,2019-2022,2019,T20I,23,14,6,0,0,0,3,70
Malaysia,Asia,2019-2023,2019,T20I,53,30,20,1,0,0,2,59.8
Maldives,Asia,2019-2022,2019,T20I,24,4,19,0,0,0,1,17.39
Mali,Africa,2022-2022,2022,T20I,7,0,5,0,0,0,2,0
Malta,Europe,2019-2022,2019,T20I,38,17,19,1,0,0,1,47.29
Mexico,North America,2019-2019,2019,T20I,8,3,5,0,0,0,0,37.5
Mozambique,Africa,2019-2022,2019,T20I,27,13,13,0,0,0,1,50
Namibia,Africa,2019-2022,2019,T20I,41,27,14,0,0,0,0,65.85
Nepal,Asia,2014-2022,2014,T20I,57,33,23,0,0,0,1,58.92
Netherlands,Europe,2008-2022,2008,T20I,98,49,44,1,0,1,3,52.63
New Zealand,Oceania,2005-2023,2005,T20I,186,94,78,1,2,7,4,54.39
Nigeria,Africa,2019-2022,2019,T20I,34,14,19,0,0,0,1,42.42
Norway,Europe,2019-2022,2019,T20I,19,6,13,0,0,0,0,31.57
Oman,Asia,2015-2022,2015,T20I,54,23,30,0,0,0,1,43.39
Pakistan,Asia,2006-2023,2006,T20I,218,132,78,0,1,2,5,62.67
Panama,North America,2019-2023,2019,T20I,13,4,9,0,0,0,0,30.76
Papua New Guinea,Asia,2015-2022,2015,T20I,43,21,21,0,0,0,1,50
Peru,South America,2019-2019,2019,T20I,4,2,2,0,0,0,0,50
Philippines,Asia,2019-2022,2019,T20I,9,1,7,0,0,0,1,12.5
Portugal,Europe,2019-2022,2019,T20I,13,9,4,0,0,0,0,69.23
Qatar,Asia,2019-2022,2019,T20I,33,19,10,0,2,0,2,64.51
Romania,Europe,2019-2022,2019,T20I,28,21,7,0,0,0,0,75
Rwanda,Africa,2021-2022,2021,T20I,35,11,23,0,0,0,1,32.35
Samoa,Oceania,2019-2023,2019,T20I,13,2,11,0,0,0,0,15.38
Saudi Arabia,Asia,2019-2022,2019,T20I,19,8,11,0,0,0,0,42.1
Scotland,Europe,2007-2022,2007,T20I,83,35,44,1,0,0,3,44.37
Serbia,Europe,2019-2022,2019,T20I,18,4,14,0,0,0,0,22.22
Seychelles,Africa,2021-2022,2021,T20I,13,2,8,0,0,0,3,20
Sierra Leone,Africa,2021-2022,2021,T20I,17,7,10,0,0,0,0,41.17
Singapore,Asia,2019-2022,2019,T20I,35,11,23,0,0,1,0,32.85
Slovenia,Europe,2022-2022,2022,T20I,4,0,4,0,0,0,0,0
South Africa,Africa,2005-2023,2005,T20I,168,95,69,0,1,0,3,57.87
South Korea,Asia,2022-2022,2022,T20I,4,0,4,0,0,0,0,0
Spain,Europe,2019-2023,2019,T20I,33,24,8,0,0,0,1,75
Sri Lanka,Asia,2006-2023,2006,T20I,177,79,92,0,2,2,2,46.28
St Helena,British Overseas,2022-2022,2022,T20I,7,2,3,0,0,0,2,40
Sweden,Europe,2021-2022,2021,T20I,16,6,10,0,0,0,0,37.5
Switzerland,Europe,2021-2022,2021,T20I,11,6,5,0,0,0,0,54.54
